Frequency [Hz], Amplitude [dB], Phase [deg]
10, -40.480953, -90.109077
12.067926406393289, -38.944603, -90.343674
14.563484775012437, -37.472412, -90.319542
17.57510624854792, -35.832542, -90.704094
21.209508879201906, -34.183006, -90.647453
25.59547922699536, -32.483562, -91.180046
30.888435964774818, -30.681, -91.051231
37.2759372031494, -28.996761, -91.324371
44.98432668969444, -27.412241, -91.566154
54.286754393238596, -25.84388, -92.422287
65.51285568595509, -24.060297, -91.121735
79.06043210907697, -22.429693, -91.694992
95.40954763499938, -20.860079, -91.405876
115.1395399326447, -19.106018, -92.223289
138.94954943731375, -17.457476, -92.613121
167.68329368110065, -15.77669, -92.927551
202.35896477251555, -14.054442, -93.63678
244.205309454865, -12.322253, -94.231491
294.705170255181, -10.507557, -94.906319
355.64803062231283, -8.569441, -95.880219
429.1934260128778, -6.494498, -97.227371
517.9474679231213, -4.129892, -98.925171
625.0551925273969, -1.280082, -101.581375
754.3120063354615, 2.673666, -106.956078
910.2981779915218, 9.963434, -129.709305
1098.5411419875584, 12.026671, 139.133209
1325.7113655901082, 5.71306, 108.663651
1599.8587196060573, 0.985354, 99.958824
1930.6977288832495, -2.501646, 96.86335
2329.951810515372, -5.278075, 95.70356
2811.768697974228, -7.64924, 95.546555
3393.221771895326, -9.761465, 95.885956
4094.9150623804235, -11.68572, 96.5672
4941.713361323833, -13.515429, 97.529083
5963.623316594642, -15.231407, 98.934364
7196.856730011514, -16.897001, 100.443153
8685.11373751352, -18.529594, 102.481522
10481.131341546852, -20.069315, 104.602013
12648.552168552958, -21.567423, 107.297424
15264.179671752303, -23.032103, 110.563744
18420.699693267165, -24.335375, 114.554169
22229.96482526191, -25.369329, 118.270515
26826.957952797275, -26.418497, 121.992195
32374.5754281764, -27.57863, 124.228668
39069.39937054613, -28.04353, 126.749763
47148.663634573895, -28.787376, 131.671677
56898.66029018293, -29.443325, 130.707001
68664.88450042998, -29.702003, 133.352768
82864.27728546843, -30.411785, 132.48053
